normalized_product,product_label,item_name,menu_section,price_eur,price_type,venue_name,address,city,latitude,longitude,source_platform,confidence,source_url,retrieved_at
spritz,Spritz,Aperol Spritz,COCKTAILS,6.0,menu,Caffè Inn International Bistrot,,Milano,45.4642,9.1900,eatbu,high,https://cdn.website.dish.co/media/62/a9/7606882/Menu-Aperitivo.pdf,2026-05-31T10:31:16Z
spritz,Spritz,Spritz Aperol,COCKTAILS APERITIVO (12),6.0,menu,Woodstock,Via Lodovico il Moro 3,Milano,45.4474586,9.1553746,other,high,https://www.qodeup.com/woodstock,2026-05-31T13:16:11Z
spritz,Spritz,VINI ROSSI - Pub / Birreria SPRITZ NAVIGLI MILANO - Milano - Menu Digitale Vai a,,6.0,menu,Spritz,Ripa di Porta Ticinese 9,Milano,45.4519849,9.1765944,direct_website,high,https://www.leggimenu.it/menu/spritznaviglimilano/248266,2026-05-31T10:41:45Z
spritz,Spritz,Campari spritz,Long Drinks,6.0,menu,Los Locos,Via Novara 196 20153 Milano,Milano,45.486303,9.080195,leggimenu,high,https://www.leggimenu.it/menu/loslocosmilano/265711,2026-05-31T09:14:42Z
spritz,Spritz,SPRITZ,,6.0,menu,FOD,"Via Paolo Sarpi, 53, Milano, Italia",Milano,45.480983,9.173182,leggimenu,high,https://www.leggimenu.it/menu/barfod/805,2026-05-31T09:14:42Z
spritz,Spritz,Spritz Bianco Veneto,,6.0,menu,La Vineria in Ripa,"Via Casale, 4, Milano, MI, Italia",Milano,45.451869,9.170347,leggimenu,high,https://www.leggimenu.it/menu/lavineriainripa/29653,2026-05-31T09:14:42Z
spritz,Spritz,Spritz (Campari o Aperol),,6.0,menu,Bar Taita,"Largo Oreste Murani 2, 20133, Milano",Milano,45.4730232,9.2351916,leggimenu,high,https://www.leggimenu.it/menu/bartaita/220611,2026-06-01T10:25:38Z
spritz,Spritz,Aperol Spritz,,6.0,menu,Bar Il Capitano MilANO,"Via Ascanio Sforza 31, 20136, Milano",Milano,45.4492043,9.1776156,leggimenu,high,https://www.leggimenu.it/menu/capitanomilano/210347,2026-06-01T10:25:38Z
spritz,Spritz,Spritz Aperol/Campari,,6.0,menu,Tipota,"Via Francesco Brioschi 32, 20136, Milano",Milano,45.4453487,9.1806705,leggimenu,high,https://www.leggimenu.it/menu/tipota/94099,2026-06-01T10:25:38Z
spritz,Spritz,Spritz,,6.0,menu,Vinyl Cafè,"Via Montello 165, 20831, Seregno",Milano,45.6504215,9.2304806,leggimenu,high,https://www.leggimenu.it/menu/vinyl/114335,2026-06-01T10:25:38Z
spritz,Spritz,APEROL SPRITZ,SPRITZ,6.0,menu,WHY NOT?,"Via Elio Adriano 94, 20128, Lombardia",Milano,45.5167178,9.2444684,leggimenu,high,https://www.leggimenu.it/menu/why-not/251220,2026-06-01T10:25:38Z
spritz,Spritz,Aperol,,6.0,menu,Myst,,Milano,45.4839246,9.2345802,direct_website,high,https://www.mystmilano.it/menu,2026-05-30T22:25:39Z
spritz,Spritz,Aperol Spritz,PRE - DINNER DRINK,7.0,menu,Barz'8 Coffee drink e food,"Via Casale, 3a, Milano, MI, Italia",Milano,45.4520751,9.1704579,mycia,high,https://www.mycia.it/menu/milano/barz-8-coffee-drink-e-food-iZN8bUfMT,2026-05-30T17:20:32.954697+00:00
spritz,Spritz,CAMPARI SPRITZ,CLASSIC COCKTAIL,7.0,menu,The Saints and the Scholars,"Via Giuseppe Govone, 23, Milano, MI, Italia",Milano,45.4890912,9.167452,mycia,high,https://www.mycia.it/menu/milano/the-saints-and-the-scholars-4XjUMOaID,2026-05-30T17:34:16.093502+00:00
spritz,Spritz,Campari Spritz,APERITIVI,7.0,menu,Tutto bene grazie,"Corso Magenta, 30, Milan, Metropolitan City of Milan, Italy",Milano,45.4661431,9.1774351,mycia,high,https://www.mycia.it/menu/milano/tutto-bene-grazie-8bVibf6xG,2026-05-30T17:34:59.627919+00:00
spritz,Spritz,Spritz Aperol,SPRITZ,7.0,menu,Barbisa 1920,Via Lodovico Muratori 11 20135.0,Milano,45.4521021,9.2054417,direct_website,high,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,2026-05-31T10:14:27Z
spritz,Spritz,SPRITZ APEROL 7€,,7.0,menu,Frida,,Milano,45.4887512,9.187111,direct_website,high,https://www.fridaisola.it/documents/menu-sera-frida.pdf,2026-05-31T10:32:18Z
spritz,Spritz,Cedro Spritz,COCKTAILS APERITIVO (12),7.0,menu,Woodstock,Via Lodovico il Moro 3,Milano,45.4474586,9.1553746,other,high,https://www.qodeup.com/woodstock,2026-05-31T13:16:11Z
spritz,Spritz,SPRITZ PARTICOLARI - Pub / Birreria SPRITZ NAVIGLI MILANO - Milano - Menu Digita,,7.0,menu,Spritz,Ripa di Porta Ticinese 9,Milano,45.4519849,9.1765944,direct_website,high,https://www.leggimenu.it/menu/spritznaviglimilano/248242,2026-05-31T10:43:41Z
spritz,Spritz,Spritz,,7.0,menu,Morna,Via Tortona 30/A,Milano,45.4527629,9.1663116,eatbu,high,https://cdn.website.dish.co/media/b3/24/6613965/Quick-Drinks.pdf,2026-06-01T08:45:52Z
spritz,Spritz,Spritz,,7.0,menu,Bar Golf Milano,"Via Galvani 21, 20135, Milano",Milano,45.487402,9.197346,leggimenu,high,https://www.leggimenu.it/menu/bargolfmilano,2026-06-01T19:13:54Z
spritz,Spritz,SPRITZ ANALCOLICO,,7.0,menu,LaStazioneDellaBirra,Via Medardo Rosso 18,Milano,45.489779,9.185159,leggimenu,high,https://www.leggimenu.it/menu/7dp4bdqq7ps2/231265,2026-05-31T09:14:42Z
spritz,Spritz,FIERO SPRITZ — REGULAR,,7.0,menu,SPRITZ NAVIGLI MILANO,"Via Bovisasca, 57/59, Milano, MI, Italia",Milano,45.510502,9.15966,leggimenu,high,https://www.leggimenu.it/menu/spritznaviglimilano/248010,2026-05-31T09:14:42Z
spritz,Spritz,Cucumber Gin Spritz,,7.0,menu,SWAMI - MILANO,"Via Ponte Vetero, 14, 20121 Milano Milano, Italia",Milano,45.469581,9.18529,leggimenu,high,https://www.leggimenu.it/menu/7dpkdeah7ds1/176011,2026-05-31T09:14:42Z
spritz,Spritz,SPRITZ APEROL,APERITIVI,7.0,menu,castrenze de vincenzi - Milano,Via Ezio Biondi 20154 Milano,Milano,45.487418,9.160906,leggimenu,high,https://www.leggimenu.it/menu/75q49daq7dp2/124699,2026-05-31T09:14:42Z
spritz,Spritz,Vinyl Spritz,,7.0,menu,Vinyl Cafè,"Via Montello 165, 20831, Seregno",Milano,45.6504215,9.2304806,leggimenu,high,https://www.leggimenu.it/menu/vinyl/126034,2026-06-01T10:25:38Z
spritz,Spritz,VENTURO SPRITZ,SPRITZ,7.0,menu,WHY NOT?,"Via Elio Adriano 94, 20128, Lombardia",Milano,45.5167178,9.2444684,leggimenu,high,https://www.leggimenu.it/menu/why-not/251220,2026-06-01T10:25:38Z
spritz,Spritz,APEROL SPRITZ,Menu,7.0,menu,Barghilè,Via DE MARCHI EMILIO 3,Milano,45.497862,9.20799,web_extract,high,https://www.almashrabia.it/menu/,2026-05-31T17:56:58.981539+00:00
spritz,Spritz,SPRITZ (APEROL O CAMPARI),Tuo Asporto Hours,7.0,menu,Rapsody,Via Gaetano Salvemini 7,Milano,45.418814,9.259658,web_extract,high,https://rapsodymilano.it/wp-content/uploads/2025/11/Menu-Drink-Rapsody-2025.pdf,2026-05-31T19:03:58.101062+00:00
spritz,Spritz,"Spritz, Hugo",Menu,7.0,menu,Boom,,Milano,45.463156,9.224481,web_extract,high,https://boom-milano.com/menu-drink,2026-05-31T19:03:58.101062+00:00
spritz,Spritz,SPRITZ,Menu,7.5,menu,Rhop,Corso Europa 142,Milano,45.5282176,9.0466645,direct_website,high,https://www.rhop.it/menu/,2026-05-30T20:54:09.877713+00:00
spritz,Spritz,Spritz Aperol [Servito con le patatine(alternativa con richiesta)],APERITIVI,7.5,menu,Garden Caffè,"Via Servio Tullio 4, 20123, Milano",Milano,45.4594548,9.1685311,leggimenu,high,https://www.leggimenu.it/menu/gardencaffe/65565,2026-06-01T10:25:38Z
spritz,Spritz,Spritz Aperol,COCKTAIL,7.5,menu,"Mulberry st, San Donato",Via Alfonsine 40 a San Donato Milanese,Milano,45.4008,9.2669,menudigitale,high,https://www.menudigitale.io/mulberry-sandonatomil-ristopub/,2026-05-31T09:40:52Z
spritz,Spritz,Aperol Spritz,APERITIVI,8.0,menu,Bar Gluck,"Via Cristoforo Gluck, 3, Milano, MI, Italia",Milano,45.4910449,9.2071548,mycia,high,https://www.mycia.it/menu/milano/bar-gluck-Fe0fwKRp0,2026-05-30T17:20:22.108651+00:00
spritz,Spritz,Aperol Spritz,APERITIVI,8.0,menu,DOM STATION,"Via Casale, 3, Milan, Metropolitan City of Milan, Italy",Milano,45.4525573,9.1702271,mycia,high,https://www.mycia.it/menu/milano/dom-station-F0JmZL6Wd,2026-05-30T17:23:15.712748+00:00
spritz,Spritz,Campari Spritz,GRANDI CLASSICI,8.0,menu,Pesa Pubblica,"Via Melzo, 19, Milan, Metropolitan City of Milan, Italy",Milano,45.4750947,9.2077947,mycia,high,https://www.mycia.it/menu/milano/pesa-pubblica-VMOc9sBUG,2026-05-30T17:30:40.686921+00:00
spritz,Spritz,Campari Spritz,GRANDI CLASSICI,8.0,menu,William's Cafè,"Via Teodosio, 14, Milan, Metropolitan City of Milan, Italy",Milano,45.4838578,9.2300984,mycia,high,https://www.mycia.it/menu/milano/william-s-cafe-tXmw7ksHc,2026-05-30T17:35:30.523995+00:00
spritz,Spritz,Spritz Campari,SPRITZ,8.0,menu,Barbisa 1920,Via Lodovico Muratori 11 20135.0,Milano,45.4521021,9.2054417,direct_website,high,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,2026-05-31T10:14:27Z
spritz,Spritz,SPRITZ ALLA ROSA 8€,,8.0,menu,Frida,,Milano,45.4887512,9.187111,direct_website,high,https://www.fridaisola.it/documents/menu-sera-frida.pdf,2026-05-31T10:32:18Z
spritz,Spritz,SPRITZ -  €8,,8.0,menu,Birrificio La Ribalta,,Milano,45.5069709,9.1731961,direct_website,high,https://birrificiolaribalta.com/wp-content/uploads/2020/07/Menu_Cena_La-Ribalta.pdf,2026-05-31T10:41:45Z
spritz,Spritz,Menù Aperitivi - Norin Caffè e Bistrò Toggle navigation Menù Breakfast Ristorant,,8.0,menu,Norin Caffè Bistrot,,Milano,45.4642,9.1900,direct_website,high,https://www.pizzeriabistronorin.com/menu-aperitivi-norin.php,2026-05-31T10:43:41Z
spritz,Spritz,"SPRITZ APEROL, CAMPARI, SELECT / 8",COCKTAILS & CO.,8.0,menu,The Growler Milano,,Milano,45.4642,9.1900,eatbu,high,https://cdn.website.dish.co/media/29/4f/8728478/THE-MENU.pdf,2026-05-31T10:29:09Z
spritz,Spritz,Cocktail’s / Porto Tónico Caipi Porto Caipirinha Mojito Aperol Spritz Moscow mul,,8.0,menu,Cris Bar,,Milano,45.4629009,9.0872921,eatbu,high,https://cdn.website.dish.co/media/83/34/9888011/Menu-1.pdf,2026-05-31T11:23:38Z
spritz,Spritz,BOLLICINE e CHAMPAGNE - Pub / Birreria SPRITZ NAVIGLI MILANO - Milano - Menu Dig,,8.0,menu,Spritz,Ripa di Porta Ticinese 9,Milano,45.4519849,9.1765944,direct_website,high,https://www.leggimenu.it/menu/spritznaviglimilano/131042,2026-05-31T10:43:41Z
spritz,Spritz,SPRITZONCELLO,,8.0,menu,Chiosco Milano 3,"Via Bassano Porrone, 8, 20121 Milano MI, Italia",Milano,45.466125,9.186576,leggimenu,high,https://www.leggimenu.it/menu/chioscomilano3/186069,2026-05-31T09:14:42Z
spritz,Spritz,Santo Taco Spritz,,8.0,menu,Santo Taco,Via Luigi Sabatelli 1,Milano,45.481064,9.168365,leggimenu,high,https://www.leggimenu.it/menu/santotaco/49702,2026-05-31T09:14:42Z
spritz,Spritz,BERGAMOTTO SPRITZ,Spritz Variations,8.0,menu,L'APERITIVO,"Via Santa Tecla, 5, Milano, MI, Italia",Milano,45.462766,9.193529,leggimenu,high,https://www.leggimenu.it/menu/laperitivomenu/214719,2026-05-31T09:14:42Z
spritz,Spritz,SPRITZ CAMPARI,APERITIVI,8.0,menu,castrenze de vincenzi - Milano,Via Ezio Biondi 20154 Milano,Milano,45.487418,9.160906,leggimenu,high,https://www.leggimenu.it/menu/75q49daq7dp2/124699,2026-05-31T09:14:42Z
spritz,Spritz,Spritz,Cocktails,8.0,menu,corner pizza & co,"via cavalcanti 2, 20127, milano",Milano,45.49164,9.21317,leggimenu,high,https://www.leggimenu.it/menu/corner/53490,2026-06-01T10:25:38Z
spritz,Spritz,"Spritz ( Aperol, Campari, Select, Prosecco, Soda",Cocktails,8.0,menu,Corner,"Via Guido Cavalcanti, 2, 20125 Milano MI, Italia",Milano,45.4827,9.1862,menudigitale,high,https://www.menudigitale.io/smhum,2026-05-31T09:40:52Z
spritz,Spritz,"Aperol spritz: Aperol, prosecco, soda",,8.0,menu,Casa Giuditta,Via Carlo Goldoni 86,Milano,45.4694554,9.2220441,direct_website,high,https://www.casagiudittamilano.it/wp-content/uploads/2025/10/I-nostri-Cocktail-CG.pdf,2026-05-30T22:25:39Z
spritz,Spritz,Spritz,,8.0,menu,Armadi Silos Caff√®,,Milano,45.4516572,9.1646428,direct_website,high,https://www.armanisilos.com/plan-your-visit/cafe/,2026-05-30T22:25:39Z
spritz,Spritz,SPRITZ,Menu,8.0,menu,Piasù,Via ALBERTO DA GIUSSANO 1,Milano,45.467253,9.164781,web_extract,high,https://www.piasu.it/wp-content/uploads/2024/03/menu-drink.pdf,2026-05-31T16:45:42.791847+00:00
spritz,Spritz,SPRITZ,Bevande,8.0,menu,Luma,Via Pietro Borsieri 39,Milano,45.48957,9.188891,web_extract,high,https://lumacocktailbar.com/wp-content/uploads/2026/02/Menu_Brunch_Febbraio_2026.pdf,2026-05-31T19:03:58.101062+00:00
spritz,Spritz,Spritz Select,Spritz Campari,8.5,menu,"Mulberry st, San Donato",Via Alfonsine 40 a San Donato Milanese,Milano,45.4008,9.2669,menudigitale,high,https://www.menudigitale.io/mulberry-sandonatomil-ristopub/,2026-05-31T09:40:52Z
spritz,Spritz,"Aperol Spritz  € 8,50",Menu,8.5,menu,Vanilla,VIALE CERTOSA 37,Milano,45.490113,9.150957,web_extract,high,http://www.vanillabakery.it/menu/,2026-05-31T16:45:42.791847+00:00
spritz,Spritz,Campari Spritz,APERITIVI,9.0,menu,Chinese Box,"Corso Garibaldi, 104, Milan, Metropolitan City of Milan, Italy",Milano,45.47854,9.1856288,mycia,high,https://www.mycia.it/menu/milano/chinese-box-X87zvIVyD,2026-05-30T17:22:13.900859+00:00
spritz,Spritz,Campari Spritz,GRANDI CLASSICI,9.0,menu,Movida Ristorante Milano,"Via Ascanio Sforza, 41, Milano, MI, Italia",Milano,45.4480668,9.1773913,mycia,high,https://www.mycia.it/menu/milano/movida-ristorante-milano-3R9oWSwOI,2026-05-30T17:28:55.764807+00:00
spritz,Spritz,Campari Spritz,APERITIVI,9.0,menu,That's Wine,"Piazza Velasca, 5, Milan, Metropolitan City of Milan, Italy",Milano,45.4599542,9.1906238,mycia,high,https://www.mycia.it/menu/milano/that-s-wine-Wp8r7NOfQ,2026-05-30T17:34:05.285559+00:00
spritz,Spritz,Spritz Etna,SPRITZ,9.0,menu,Barbisa 1920,Via Lodovico Muratori 11 20135.0,Milano,45.4521021,9.2054417,direct_website,high,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,2026-05-31T10:14:27Z
spritz,Spritz,EATME&GO – Street food lovers Mail us: info@eatmeandgo.it Where: DUOMO Via Torin,,9.0,menu,Eatme&Go,,Milano,45.4642,9.1900,direct_website,high,http://www.eatmeandgo.it,2026-05-31T10:43:41Z
spritz,Spritz,9€18€12€Sangria 1LMoscow MuleAperol Spritz9€9€9€MojitoGin tónicoPorto tónicoSINC,,9.0,menu,Cris Bar,,Milano,45.4629009,9.0872921,eatbu,high,https://cdn.website.dish.co/media/83/34/9888011/Menu-1.pdf,2026-05-31T10:08:53Z
spritz,Spritz,#milanodabere l'aperitivo Gli spritz APEROL &#8211,,9.0,menu,Lucaeandreabar,,Milano,45.4642,9.1900,direct_website,medium,https://www.lucaeandreabar.it/drink/,2026-05-31T11:43:07Z
spritz,Spritz,SARTI SPRITZ,Spritz Variations,9.0,menu,L'APERITIVO,"Via Santa Tecla, 5, Milano, MI, Italia",Milano,45.462766,9.193529,leggimenu,high,https://www.leggimenu.it/menu/laperitivomenu/214719,2026-05-31T09:14:42Z
spritz,Spritz,SPRITZ HUGO [St Germain],SPRITZ,9.0,menu,WHY NOT?,"Via Elio Adriano 94, 20128, Lombardia",Milano,45.5167178,9.2444684,leggimenu,high,https://www.leggimenu.it/menu/why-not/251220,2026-06-01T10:25:38Z
spritz,Spritz,SPRITZ,Non Alcoholic Drinks Pre Lunch,9.0,menu,Cinc Food & Drinks,VIA FORMENTINI MARCO 7,Milano,45.471762,9.186021,web_extract,high,https://www.cincbrera.it/wp-content/uploads/2025/03/CINC_menu-salone-cocktail-list.beverage-2024.pdf.pdf,2026-05-31T16:45:42.791847+00:00
spritz,Spritz,"APERITIVO – EATME&GO Mail us: info@eatmeandgo.it Where: DUOMO Via Torino, 49 | S",,9.9,menu,Eatme&Go,,Milano,45.4642,9.1900,direct_website,high,http://www.eatmeandgo.it/it_it/aperitivo/,2026-05-31T10:43:41Z
spritz,Spritz,Campari Spritz,APERITIVI,10.0,menu,Banco Cocktailbar e Bistrot,"Alzaia Naviglio Grande, 46, Milan, Metropolitan City of Milan, Italy",Milano,45.4517923,9.1714348,mycia,high,https://www.mycia.it/menu/milano/banco-cocktailbar-e-bistrot-6H4PYokdl,2026-05-30T17:20:19.005797+00:00
spritz,Spritz,Aperol Spritz,APERITIVI,10.0,menu,Bistrot Pattari,"Via Pattari, 2, Milano, MI, Italia",Milano,45.4644683,9.1937932,mycia,high,https://www.mycia.it/menu/milano/bistrot-pattari-Kc1wFZmMv,2026-05-30T17:20:51.899091+00:00
spritz,Spritz,Campari Spritz,APERITIVI,10.0,menu,Elettrauto Cadore,"Via Cadore, 17, Milan, Metropolitan City of Milan, Italy",Milano,45.4584786,9.2137359,mycia,high,https://www.mycia.it/menu/milano/elettrauto-cadore-XNwGkuOqD,2026-05-30T17:23:37.401107+00:00
spritz,Spritz,Campari Spritz,GRANDI CLASSICI,10.0,menu,Flow Milano,"Piazza Borromeo, 5, Milan, Metropolitan City of Milan, Italy",Milano,45.463152,9.1828192,mycia,high,https://www.mycia.it/menu/milano/flow-milano-AFJlGsF1t,2026-05-30T17:24:08.337638+00:00
spritz,Spritz,Campari Spritz,GRANDI CLASSICI,10.0,menu,Milord Milano,"Piazza Gian Lorenzo Bernini, Milano, MI, Italia",Milano,45.4790347,9.2216867,mycia,high,https://www.mycia.it/menu/milano/milord-milano-2jj6oUbqm,2026-05-30T17:28:41.857977+00:00
spritz,Spritz,Campari Spritz,APERITIVI,10.0,menu,Suzy,"Via Solferino, 28, Milan, Metropolitan City of Milan, Italy",Milano,45.4766945,9.1877835,mycia,high,https://www.mycia.it/menu/milano/suzy-W1Lar2uij,2026-05-30T17:33:35.940957+00:00
spritz,Spritz,Spritz Hugo,SPRITZ,10.0,menu,Barbisa 1920,Via Lodovico Muratori 11 20135.0,Milano,45.4521021,9.2054417,direct_website,high,https://cdn.website.dish.co/media/aa/f6/9468376/BARBISA-APERITIVO.pdf,2026-05-31T10:14:27Z
spritz,Spritz,menu • Mas Milano - Specialità Spagnole Home Chi siamo Team News Menu Contatti H,,10.0,menu,I Mas!,Ripa di Porta Ticinese 11,Milano,45.4519575,9.176461,direct_website,high,https://lnx.mas-milano.it/menu/,2026-05-31T10:43:41Z
spritz,Spritz,Ugo Spritz: Vodka e tonica al limone,,10.0,menu,Casa Giuditta,Via Carlo Goldoni 86,Milano,45.4694554,9.2220441,direct_website,high,https://www.casagiudittamilano.it/wp-content/uploads/2025/10/I-nostri-Cocktail-CG.pdf,2026-05-31T10:41:45Z
spritz,Spritz,"Germain', price: '10€' } ]}, { cat: '🥤 Analcolici · 7€', items: [ { name: 'Camom",,10.0,menu,Floraetlabora,,Milano,45.4642,9.1900,direct_website,medium,https://www.floraetlabora.it/,2026-05-31T11:43:07Z
spritz,Spritz,COCKTAILS - Pub / Birreria SPRITZ NAVIGLI MILANO - Milano - Menu Digitale Vai al,,10.0,menu,Spritz,Ripa di Porta Ticinese 9,Milano,45.4519849,9.1765944,direct_website,high,https://www.leggimenu.it/menu/spritznaviglimilano/131032,2026-05-31T10:43:41Z
spritz,Spritz,FIERO SPRITZ — REGULAR,,10.0,menu,SPRITZ NAVIGLI MILANO,"Via Bovisasca, 57/59, Milano, MI, Italia",Milano,45.510502,9.15966,leggimenu,high,https://www.leggimenu.it/menu/spritznaviglimilano/131023,2026-05-31T09:14:42Z
spritz,Spritz,Spritz,,10.0,menu,Myst,,Milano,45.4839246,9.2345802,direct_website,high,https://www.mystmilano.it/menu,2026-05-30T22:25:39Z
spritz,Spritz,aperol spritz,Menu,10.0,menu,Piccolo Bar,Via Venti Settembre 93,Milano,45.532707,9.22493,web_extract,high,https://www.piccolocaferestaurant.it/drink,2026-05-31T19:03:58.101062+00:00
spritz,Spritz,Spritz Saint Germain,Menu,10.0,menu,Boom,,Milano,45.463156,9.224481,web_extract,high,https://boom-milano.com/menu-drink,2026-05-31T19:03:58.101062+00:00
