source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url,season,validity_start,validity_end,vertical
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,OMBRELLONI,Ombrellone Comfort prima fascia – giornaliero bassa stagione,"Prima fascia, ombrellone comfort","€35,00",35.0,EUR,per_day,beach_service,beach_umbrella_first_row,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,OMBRELLONI,Ombrellone Comfort prima fascia – giornaliero alta stagione,"Prima fascia, ombrellone comfort alta stagione","€40,00",40.0,EUR,per_day,beach_service,beach_umbrella_first_row,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,OMBRELLONI,Ombrellone Comfort prima fascia – settimanale bassa stagione,"Prima fascia, 7 giorni","€200,00",200.0,EUR,per_week,beach_service,beach_umbrella_first_row,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,OMBRELLONI,Ombrellone Comfort prima fascia – mensile bassa stagione,"Prima fascia, mensile","€700,00",700.0,EUR,per_month,beach_service,beach_umbrella_first_row,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,OMBRELLONI,Ombrellone Comfort prima fascia – stagionale,"Prima fascia, stagione completa","€1.900,00",1900.0,EUR,per_season,beach_service,beach_subscription_season,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,OMBRELLONI,Tenda Superior prima fascia – giornaliero bassa stagione,Tenda 3x3m prima fascia,"€80,00",80.0,EUR,per_day,beach_service,beach_umbrella_premium,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,OMBRELLONI,Tenda Superior prima fascia – stagionale,Tenda 3x3m stagione completa,"€3.900,00",3900.0,EUR,per_season,beach_service,beach_subscription_season,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,OMBRELLONI,Ombrellone Basic seconda fascia – giornaliero,Seconda fascia standard,"€25,00",25.0,EUR,per_day,beach_service,beach_umbrella_standard,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,OMBRELLONI,Ombrellone Basic seconda fascia – stagionale,"Seconda fascia, stagionale","€1.400,00",1400.0,EUR,per_season,beach_service,beach_subscription_season,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,ARREDI,Lettino – giornaliero,Lettino aggiuntivo,"€10,00",10.0,EUR,per_day,beach_service,beach_sunbed,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,ARREDI,Lettino – stagionale,Lettino aggiuntivo stagionale,"€400,00",400.0,EUR,per_season,beach_service,beach_sunbed,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,ARREDI,Sedia – giornaliero,Sedia aggiuntiva,"€5,00",5.0,EUR,per_day,beach_service,beach_chair,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,ARREDI,Cabina – giornaliero,Cabina privata,"€20,00",20.0,EUR,one_off,beach_service,beach_cabin_day,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,bagnoteresa_riccione,Bagno Teresa,https://www.bagnoteresa.it/tariffe/,ARREDI,Cabina – stagionale,Cabina stagionale,"€650,00",650.0,EUR,per_season,beach_service,beach_cabin_season,high,,2026-06-01T14:30:00Z,https://www.bagnoteresa.it/tariffe/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,apulian_beach_club,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,PRIMA FILA,Ombrellone prima fila – giornaliero giugno,1 ombrellone bassa stagione prima fila,"€35,00",35.0,EUR,per_day,beach_service,beach_umbrella_first_row,high,,2026-06-01T14:30:00Z,https://apulianbeachclub.it/listino-prezzi/,summer_2026,2026-05-01,2026-09-30,beach
direct_website,apulian_beach_club,Apulian Beach Club,https://apulianbeachclub.it/listino-prezzi/,PRIMA FILA,Ombrellone prima fila – giornaliero agosto,1 ombrellone alta stagione prima fila,"€45,00",45.0,EUR,per_day,beach_service,beach_umbrella_first_row,high,,2026-06-01T14:30:00Z,https://apulianbeachclub.it/listino-prezzi/,summer_2026,2026-05-01,2026-09-30,beach
