source_platform,source_venue_id,venue_name,venue_url,address,city,province,region,postal_code,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,google_maps_url,instagram,facebook,booking_provider,vertical
osm,node/15424810,Lido Conchiglie,https://www.openstreetmap.org/node/15424810,,,,,,40.098675,18.0296486,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=40.098675,18.0296486",,,,beach
osm,node/67256373,Sclafani Bagni,https://www.openstreetmap.org/node/67256373,,,,,,37.821589,13.8547805,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=37.821589,13.8547805",,,,beach
osm,node/67257216,Canicattini Bagni,https://www.openstreetmap.org/node/67257216,,,,,,37.034871,15.0626532,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=37.034871,15.0626532",,,,beach
osm,node/67284251,Bagnoli del Trigno,https://www.openstreetmap.org/node/67284251,,,,,,41.703029,14.456523,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=41.703029,14.456523",,,,beach
osm,node/68566255,Bagnoli Irpino,https://www.openstreetmap.org/node/68566255,,,,,,40.833115,15.072549,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=40.833115,15.072549",,,,beach
osm,node/69300725,Lesignano de' Bagni,https://www.openstreetmap.org/node/69300725,,,,,,44.6434282,10.3004841,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=44.6434282,10.3004841",,,,beach
osm,node/72960589,Pescosolido,https://www.openstreetmap.org/node/72960589,,,,,,41.748124,13.656605,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=41.748124,13.656605",,,,beach
osm,node/122520209,Settebagni,https://www.openstreetmap.org/node/122520209,,,,,,42.0182387,12.5298776,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=42.0182387,12.5298776",,,,beach
osm,node/245444625,Settebagni,https://www.openstreetmap.org/node/245444625,,,,,,41.9875242,12.5157117,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=41.9875242,12.5157117",,,,beach
osm,node/246261027,Hotel Nettuno Lido,https://www.openstreetmap.org/node/246261027,,,,,,44.3912331,8.9722172,hotel,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=44.3912331,8.9722172",,,,beach
osm,node/248100655,Lido delle Nazioni,https://www.openstreetmap.org/node/248100655,,,,,44022,44.7426066,12.2412215,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=44.7426066,12.2412215",,,,beach
osm,node/253784422,Lido di Classe,https://www.openstreetmap.org/node/253784422,,,,,,44.3261463,12.3365448,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=44.3261463,12.3365448",,,,beach
osm,node/255250604,Settebagni,https://www.openstreetmap.org/node/255250604,,,,,,42.0062643,12.520197,,,,,,,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=42.0062643,12.520197",,,,beach
osm,node/261016711,Lido di Lavinio,https://www.openstreetmap.org/node/261016711,,,,,,41.5005942,12.6259203,,,,,,https://www.rfi.it/it/stazioni/lido-di-lavinio.html,,False,,ok,2026-06-01T14:12:38Z,"https://www.google.com/maps/search/?api=1&query=41.5005942,12.6259203",,,,beach
